,0
MMSE,0.38522126127225276
nWBV,0.1353458927704775
eTIV,0.11403000453128291
ASF,0.10266804057874587
EDUC,0.10021897649422155
Age,0.09540938000920315
sex_male,0.03674848702103085
SES,0.030357957322785557
